sales_id,retailer,retailer_id,invoice_date,region,state,city,product,price_per_unit,units_sold,total_sales,operating_profit,sales_method
54,West Gear,1185732,16/03/2021,Northeast,West Virginia,Charleston,Men's Athletic Footwear,30,275,8250,3300,In-store
55,Walmart,1185732,19/04/2020,Northeast,New York,New York,Men's Street Footwear,39,408,15912,875,Outlet
56,Foot Locker,1185732,15/02/2021,Northeast,Maryland,Baltimore,Women's Street Footwear,30,275,8250,3300,In-store
57,Walmart,1185732,27/04/2020,Northeast,New York,New York,Men's Street Footwear,46,403,18538,1038,Outlet
58,Foot Locker,1185732,13/03/2021,Northeast,Delaware,Wilmington,Women's Street Footwear,30,275,8250,3300,In-store
59,West Gear,1185732,10/03/2021,West,Utah,Salt Lake City,Women's Street Footwear,20,400,8000,2800,In-store
60,West Gear,1185732,11/06/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20,400,8000,3200,In-store
61,Kohl's,1185732,10/01/2021,Northeast,Delaware,Wilmington,Women's Street Footwear,25,275,6875,2750,In-store
62,West Gear,1185732,11/10/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,20,400,8000,2800,In-store
63,Walmart,1185732,28/04/2020,Northeast,New York,New York,Men's Athletic Footwear,53,273,14469,622,Online
64,West Gear,1128299,06/01/2021,West,California,San Francisco,Men's Street Footwear,56,273,15288,764,Online
65,West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,20,400,8000,2800,In-store
66,West Gear,1128299,18/01/2021,West,California,San Francisco,Men's Street Footwear,62,273,16926,779,Online
67,West Gear,1128299,12/02/2021,West,California,San Francisco,Men's Athletic Footwear,58,273,15834,428,Online
68,Kohl's,1189833,25/05/2021,West,California,Los Angeles,Men's Street Footwear,39,315,12285,565,Outlet
69,Sports Direct,1197831,24/09/2021,South,Texas,Dallas,Women's Street Footwear,46,273,12558,691,Online
70,Foot Locker,1185732,06/08/2020,West,Washington,Seattle,Men's Street Footwear,44,273,12012,661,Online
71,Foot Locker,1185732,07/06/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,51,273,13923,780,Online
72,Walmart,1197831,11/08/2020,South,Texas,Houston,Women's Apparel,27,272,7344,404,Outlet
73,Walmart,1185732,16/09/2021,South,Mississippi,Jackson,Women's Athletic Footwear,20,400,8000,3200,Online
74,Walmart,1197831,11/09/2020,South,Texas,Houston,Men's Street Footwear,31,272,8432,329,Outlet
75,West Gear,1128299,13/11/2020,West,California,San Francisco,Men's Street Footwear,36,272,9792,382,Outlet
76,Foot Locker,1185732,27/01/2020,Northeast,New York,New York,Women's Street Footwear,27,314,8478,348,Outlet
77,Sports Direct,1197831,21/02/2021,South,Mississippi,Jackson,Women's Street Footwear,15,400,6000,2400,Online
78,Foot Locker,1185732,04/03/2020,Northeast,New York,New York,Men's Street Footwear,47,400,18800,978,Outlet
79,Foot Locker,1185732,18/03/2020,Northeast,New York,New York,Women's Street Footwear,37,314,11618,430,Outlet
80,Foot Locker,1185732,25/01/2020,Northeast,New York,New York,Men's Street Footwear,40,390,15600,811,Outlet
81,Sports Direct,1197831,23/04/2021,South,Tennessee,Knoxville,Women's Street Footwear,39,314,12246,576,Outlet
82,Kohl's,1189833,26/04/2021,West,California,Los Angeles,Men's Athletic Footwear,37,272,10064,292,Outlet
83,Foot Locker,1185732,07/01/2020,Northeast,New York,New York,Men's Street Footwear,33,388,12804,666,Outlet
84,Kohl's,1189833,19/05/2021,West,California,Los Angeles,Men's Street Footwear,40,272,10880,500,Outlet
85,Foot Locker,1185732,01/01/2020,Northeast,New York,New York,Men's Street Footwear,34,384,13056,679,Outlet
86,Sports Direct,1197831,21/09/2021,South,Texas,Dallas,Women's Apparel,47,272,12784,729,Outlet
87,Sports Direct,1197831,15/04/2021,South,Tennessee,Knoxville,Men's Street Footwear,29,272,7888,394,Outlet
88,Foot Locker,1185732,07/02/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,31,376,11656,559,Outlet
89,Sports Direct,1197831,20/04/2021,South,Tennessee,Knoxville,Women's Apparel,38,272,10336,641,Outlet
90,Foot Locker,1185732,07/01/2020,Northeast,New York,New York,Men's Street Footwear,46,313,14398,893,Online
91,Walmart,1128299,17/06/2021,Southeast,Florida,Orlando,Men's Street Footwear,50,272,13600,435,Outlet
92,Sports Direct,1197831,22/08/2021,South,Alabama,Birmingham,Women's Athletic Footwear,20,375,7500,4125,Outlet
93,Foot Locker,1185732,04/03/2020,Northeast,New York,New York,Men's Street Footwear,55,313,17215,1050,Online
94,Foot Locker,1185732,18/02/2021,Midwest,Michigan,Detroit,Women's Street Footwear,20,375,7500,2625,In-store
95,Walmart,1185732,03/05/2020,Northeast,New York,New York,Men's Street Footwear,62,312,19344,1238,Online
96,West Gear,1185732,11/08/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20,375,7500,3000,In-store
97,Walmart,1128299,17/08/2021,Southeast,Florida,Orlando,Men's Athletic Footwear,60,272,16320,441,Outlet
98,Foot Locker,1185732,07/02/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,38,312,11856,700,Online
99,West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20,375,7500,3000,In-store
100,West Gear,1185732,12/01/2021,Southeast,Florida,Orlando,Men's Street Footwear,30,272,8160,416,Outlet
101,Foot Locker,1185732,17/04/2021,South,Mississippi,Jackson,Women's Street Footwear,15,375,5625,2250,Online
102,Foot Locker,1128299,23/07/2021,Southeast,Virginia,Richmond,Men's Street Footwear,60,272,16320,604,Outlet
103,Walmart,1185732,28/04/2020,Northeast,New York,New York,Men's Athletic Footwear,40,312,12480,449,Outlet
104,Foot Locker,1128299,24/08/2021,Southeast,Virginia,Richmond,Men's Street Footwear,67,272,18224,729,Outlet
105,Foot Locker,1185732,05/07/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,63,311,19593,1156,Online
106,West Gear,1128299,16/12/2021,South,Louisiana,New Orleans,Men's Street Footwear,46,272,12512,576,Outlet
107,West Gear,1197831,20/11/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,15,375,5625,1969,Online
108,West Gear,1128299,03/11/2020,South,Texas,Houston,Women's Street Footwear,33,271,8943,376,Outlet
109,West Gear,1197831,23/01/2021,South,Arkansas,Little Rock,Women's Street Footwear,15,375,5625,2250,Online
110,Foot Locker,1185732,16/03/2020,Northeast,New York,New York,Men's Street Footwear,41,375,15375,800,Outlet
111,Walmart,1197831,26/08/2020,South,Texas,Houston,Women's Street Footwear,29,374,10846,445,Outlet
112,West Gear,1128299,25/12/2020,West,California,San Francisco,Men's Street Footwear,40,271,10840,412,Outlet
113,Walmart,1197831,01/09/2020,South,Texas,Houston,Women's Street Footwear,29,374,10846,445,Outlet
114,West Gear,1128299,14/02/2021,West,California,San Francisco,Women's Athletic Footwear,40,271,10840,325,Outlet
115,Foot Locker,1185732,31/01/2020,Northeast,New York,New York,Men's Street Footwear,33,372,12276,663,Outlet
116,Sports Direct,1197831,08/04/2021,South,Tennessee,Knoxville,Women's Apparel,31,271,8401,496,Outlet
117,Sports Direct,1197831,22/04/2021,South,Tennessee,Knoxville,Men's Athletic Footwear,44,271,11924,608,Outlet
118,West Gear,1197831,06/07/2021,West,Idaho,Boise,Men's Athletic Footwear,40,271,10840,466,Outlet
119,Foot Locker,1185732,06/02/2020,Northeast,New York,New York,Men's Street Footwear,44,366,16104,837,Outlet
120,Walmart,1185732,19/04/2020,Northeast,New York,New York,Men's Street Footwear,56,360,20160,1250,Online
121,Foot Locker,1185732,17/03/2020,Northeast,New York,New York,Men's Athletic Footwear,37,359,13283,452,Outlet
122,Walmart,1185732,18/04/2020,Northeast,New York,New York,Women's Apparel,48,355,17040,511,Outlet
123,Foot Locker,1185732,25/01/2020,Northeast,New York,New York,Men's Street Footwear,46,354,16284,1026,Online
124,Foot Locker,1185732,15/03/2020,Northeast,New York,New York,Women's Apparel,47,352,16544,447,Outlet
125,Foot Locker,1185732,17/03/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,25,350,8750,3063,In-store
126,Foot Locker,1185732,18/06/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25,350,8750,3500,In-store
127,Foot Locker,1185732,18/10/2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25,350,8750,3063,In-store
128,Foot Locker,1185732,18/11/2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25,350,8750,3063,In-store
129,West Gear,1185732,12/05/2021,West,Utah,Salt Lake City,Women's Street Footwear,25,350,8750,3063,In-store
130,West Gear,1185732,12/09/2021,West,Utah,Salt Lake City,Women's Street Footwear,10,350,3500,1225,In-store
131,Amazon,1185732,10/04/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,25,350,8750,3500,Online
132,Walmart,1185732,18/10/2021,South,Mississippi,Jackson,Women's Athletic Footwear,25,350,8750,3500,Online
133,Sports Direct,1197831,21/02/2021,South,Mississippi,Jackson,Men's Athletic Footwear,25,350,8750,3063,Online
134,Walmart,1197831,19/03/2021,South,Arkansas,Little Rock,Women's Street Footwear,10,350,3500,1400,Online
135,Walmart,1197831,19/03/2021,South,Arkansas,Little Rock,Women's Apparel,25,350,8750,3500,Online
136,Walmart,1197831,19/09/2021,South,Arkansas,Little Rock,Women's Street Footwear,15,350,5250,2100,Online
137,West Gear,1197831,21/02/2021,South,Oklahoma,Oklahoma City,Women's Apparel,20,350,7000,2800,Online
138,Walmart,1197831,19/07/2021,South,Arkansas,Little Rock,Men's Street Footwear,39,271,10569,444,Outlet
139,West Gear,1197831,21/10/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,20,350,7000,2450,Online
140,Kohl's,1197831,16/01/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,25,350,8750,3063,Online
141,Foot Locker,1185732,05/03/2020,Northeast,New York,New York,Men's Athletic Footwear,54,270,14580,598,Online
142,Kohl's,1197831,16/01/2021,South,Oklahoma,Oklahoma City,Women's Street Footwear,15,350,5250,1838,Online
143,Walmart,1185732,17/04/2020,Northeast,New York,New York,Men's Apparel,54,270,14580,656,Online
144,Walmart,1185732,20/04/2020,Northeast,New York,New York,Men's Athletic Footwear,50,270,13500,594,Online
145,Walmart,1185732,04/05/2020,Northeast,New York,New York,Men's Athletic Footwear,43,310,13330,467,Outlet
146,Kohl's,1189833,19/04/2021,West,California,Los Angeles,Men's Street Footwear,44,270,11880,653,Online
147,Foot Locker,1185732,17/03/2020,Northeast,New York,New York,Men's Athletic Footwear,53,308,16324,669,Online
148,Sports Direct,1185732,29/09/2020,Southeast,Florida,Miami,Men's Street Footwear,56,270,15120,907,Online
149,Sports Direct,1185732,03/08/2021,Southeast,North Carolina,Charlotte,Men's Street Footwear,61,308,18788,996,Online
150,Foot Locker,1185732,05/01/2020,Northeast,New York,New York,Men's Apparel,43,306,13158,487,Outlet
151,West Gear,1128299,16/07/2021,South,Louisiana,New Orleans,Men's Street Footwear,86,270,23220,1231,Online
152,Foot Locker,1185732,23/01/2020,Northeast,New York,New York,Men's Apparel,43,306,13158,461,Outlet
153,Foot Locker,1185732,05/07/2021,Southeast,South Carolina,Charleston,Men's Athletic Footwear,58,270,15660,767,Online
154,Walmart,1185732,22/04/2020,Northeast,New York,New York,Women's Athletic Footwear,34,306,10404,406,Outlet
155,Foot Locker,1185732,13/03/2020,Northeast,New York,New York,Women's Athletic Footwear,35,270,9450,350,Outlet
156,Walmart,1185732,06/05/2020,Northeast,New York,New York,Women's Athletic Footwear,41,306,12546,502,Outlet
157,Walmart,1185732,30/04/2020,Northeast,New York,New York,Women's Athletic Footwear,41,270,11070,410,Outlet
158,Sports Direct,1197831,31/07/2020,South,Texas,Houston,Men's Street Footwear,20,306,6120,257,Outlet
159,Sports Direct,1197831,19/07/2020,Northeast,New York,New York,Men's Street Footwear,20,270,5400,211,Outlet
160,Sports Direct,1197831,06/08/2020,South,Texas,Houston,Men's Street Footwear,23,306,7038,260,Outlet
161,Sports Direct,1197831,20/07/2020,Northeast,New York,New York,Men's Athletic Footwear,26,270,7020,260,Outlet
162,Sports Direct,1197831,07/08/2020,South,Texas,Houston,Men's Athletic Footwear,29,306,8874,364,Outlet
163,Walmart,1197831,04/09/2020,South,Texas,Houston,Women's Apparel,39,270,10530,569,Outlet
164,Walmart,1197831,21/10/2020,South,Texas,Houston,Men's Athletic Footwear,31,306,9486,379,Outlet
165,Walmart,1197831,20/10/2020,South,Texas,Houston,Men's Street Footwear,34,270,9180,349,Outlet
166,Walmart,1197831,31/10/2020,South,Texas,Houston,Women's Apparel,41,306,12546,690,Outlet
167,West Gear,1128299,31/12/2020,West,California,San Francisco,Men's Street Footwear,44,270,11880,523,Outlet
168,West Gear,1128299,11/01/2021,West,California,San Francisco,Women's Apparel,60,306,18360,477,Outlet
169,Walmart,1185732,21/04/2020,Northeast,New York,New York,Women's Street Footwear,47,268,12596,592,Online
170,West Gear,1128299,06/02/2021,West,California,San Francisco,Men's Athletic Footwear,46,306,14076,282,Outlet
171,Walmart,1197831,12/08/2020,South,Texas,Houston,Men's Street Footwear,29,268,7772,373,Online
172,Walmart,1197831,30/08/2020,South,Texas,Houston,Men's Street Footwear,37,268,9916,486,Online
173,Kohl's,1189833,01/05/2021,West,California,Los Angeles,Men's Street Footwear,36,306,11016,496,Outlet
174,West Gear,1128299,25/01/2021,West,California,San Francisco,Men's Athletic Footwear,56,268,15008,420,Online
175,Sports Direct,1197831,14/04/2021,South,Tennessee,Knoxville,Women's Apparel,37,306,11322,668,Outlet
176,Kohl's,1197831,16/01/2021,South,Oklahoma,Oklahoma City,Women's Apparel,25,350,8750,3063,Online
177,Foot Locker,1185732,18/08/2020,Southeast,Florida,Miami,Men's Street Footwear,41,268,10988,659,Online
178,West Gear,1185732,17/02/2021,Northeast,West Virginia,Charleston,Women's Apparel,25,350,8750,3500,In-store
179,West Gear,1128299,16/07/2021,South,Louisiana,New Orleans,Men's Street Footwear,62,306,18972,816,Outlet
180,Sports Direct,1197831,14/09/2021,South,Alabama,Birmingham,Women's Street Footwear,51,268,13668,820,Online
181,West Gear,1185732,08/05/2021,Northeast,New York,Albany,Men's Street Footwear,50,261,13050,783,Online
182,Foot Locker,1185732,09/03/2020,Northeast,New York,New York,Women's Apparel,64,305,19520,761,Online
183,Foot Locker,1185732,11/03/2020,Northeast,New York,New York,Men's Athletic Footwear,53,267,14151,594,Online
184,Foot Locker,1185732,03/01/2020,Northeast,New York,New York,Women's Street Footwear,32,350,11200,414,Outlet
185,Walmart,1197831,30/08/2020,South,Texas,Houston,Men's Street Footwear,27,305,8235,305,Outlet
186,Foot Locker,1185732,24/01/2020,Northeast,New York,New York,Women's Apparel,36,350,12600,365,Outlet
187,Walmart,1197831,31/08/2020,South,Texas,Houston,Men's Athletic Footwear,33,305,10065,382,Outlet
188,Foot Locker,1185732,05/03/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,33,265,8745,507,Online
189,Foot Locker,1197831,08/08/2021,West,Idaho,Boise,Women's Street Footwear,39,305,11895,511,Outlet
190,Walmart,1197831,20/08/2020,South,Texas,Houston,Women's Street Footwear,27,264,7128,285,Outlet
191,Walmart,1197831,05/09/2020,South,Texas,Houston,Men's Street Footwear,33,264,8712,366,Outlet
192,West Gear,1185732,17/09/2020,Southeast,Florida,Miami,Men's Street Footwear,60,304,18240,1040,Online
193,West Gear,1128299,01/11/2020,South,Texas,Houston,Men's Street Footwear,30,264,7920,309,Outlet
194,Walmart,1197831,29/08/2020,South,Texas,Houston,Women's Apparel,36,302,10872,565,Outlet
195,West Gear,1128299,14/01/2021,West,California,San Francisco,Women's Street Footwear,46,264,12144,486,Outlet
196,Foot Locker,1185732,02/01/2020,Northeast,New York,New York,Men's Athletic Footwear,47,260,12220,513,Online
197,West Gear,1128299,18/01/2021,West,California,San Francisco,Men's Street Footwear,45,302,13590,544,Outlet
198,Sports Direct,1197831,01/04/2021,South,Tennessee,Knoxville,Men's Apparel,30,300,9000,3150,Outlet
199,Foot Locker,1185732,06/01/2020,Northeast,New York,New York,Women's Apparel,46,260,11960,443,Online
200,West Gear,1128299,17/01/2021,West,California,San Francisco,Women's Apparel,56,264,14784,281,Outlet
201,Foot Locker,1185732,26/01/2020,Northeast,New York,New York,Men's Athletic Footwear,48,259,12432,535,Online
202,Sports Direct,1197831,28/09/2021,South,Alabama,Birmingham,Men's Apparel,30,300,9000,4050,Outlet
203,Foot Locker,1185732,19/05/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,30,300,9000,3150,In-store
204,Foot Locker,1185732,07/02/2020,Northeast,New York,New York,Men's Athletic Footwear,50,259,12950,518,Online
205,Walmart,1185732,20/04/2020,Northeast,New York,New York,Men's Athletic Footwear,43,350,15050,497,Outlet
206,West Gear,1128299,29/01/2021,West,California,San Francisco,Women's Apparel,51,264,13464,202,Outlet
207,Foot Locker,1185732,19/09/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,15,300,4500,1575,In-store
208,Walmart,1185732,24/04/2020,Northeast,New York,New York,Women's Apparel,45,350,15750,473,Outlet
209,West Gear,1185732,11/02/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20,300,6000,2400,In-store
210,Kohl's,1189833,19/03/2021,West,California,Los Angeles,Men's Street Footwear,24,264,6336,279,Outlet
211,Walmart,1197831,23/08/2020,South,Texas,Houston,Women's Apparel,38,350,13300,758,Outlet
212,Kohl's,1189833,24/04/2021,West,California,Los Angeles,Women's Apparel,48,264,12672,279,Outlet
213,Foot Locker,1185732,09/01/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,26,349,9074,426,Outlet
214,Walmart,1197831,13/08/2020,South,Texas,Houston,Men's Athletic Footwear,38,259,9842,453,Online
215,Kohl's,1189833,02/05/2021,West,California,Los Angeles,Men's Athletic Footwear,41,264,10824,336,Outlet
216,Foot Locker,1185732,09/03/2020,Northeast,New York,New York,Women's Apparel,46,347,15962,511,Outlet
217,Kohl's,1189833,08/05/2021,West,California,Los Angeles,Men's Athletic Footwear,39,264,10296,278,Outlet
218,West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,20,345,6900,2415,In-store
219,West Gear,1128299,06/01/2021,West,California,San Francisco,Men's Street Footwear,41,341,13981,601,Outlet
220,Kohl's,1189833,14/05/2021,West,California,Los Angeles,Men's Athletic Footwear,43,264,11352,341,Outlet
221,Foot Locker,1185732,05/03/2020,Northeast,New York,New York,Men's Athletic Footwear,41,340,13940,474,Outlet
222,Kohl's,1189833,20/05/2021,West,California,Los Angeles,Men's Athletic Footwear,42,264,11088,333,Outlet
223,Walmart,1185732,18/07/2020,Northeast,New York,New York,Women's Apparel,48,340,16320,490,Outlet
224,Sports Direct,1197831,09/09/2021,South,Texas,Dallas,Women's Apparel,34,264,8976,467,Outlet
225,Walmart,1197831,31/08/2020,South,Texas,Houston,Men's Athletic Footwear,41,259,10619,478,Online
226,West Gear,1128299,12/01/2021,West,California,San Francisco,Men's Street Footwear,41,338,13858,527,Outlet
227,Sports Direct,1197831,17/09/2021,South,Texas,Dallas,Men's Athletic Footwear,34,264,8976,377,Outlet
228,West Gear,1128299,19/01/2021,West,California,San Francisco,Men's Athletic Footwear,66,259,17094,513,Online
229,Foot Locker,1185732,01/01/2020,Northeast,New York,New York,Men's Street Footwear,47,336,15792,963,Online
230,Sports Direct,1197831,16/04/2021,South,Tennessee,Knoxville,Men's Athletic Footwear,30,264,7920,396,Outlet
231,Foot Locker,1185732,05/02/2020,Northeast,New York,New York,Women's Apparel,39,333,12987,351,Outlet
232,West Gear,1185732,10/09/2020,Southeast,Florida,Miami,Women's Apparel,63,259,16317,1061,Online
233,Walmart,1185732,29/04/2020,Northeast,New York,New York,Women's Street Footwear,52,258,13416,644,Online
234,Sports Direct,1197831,16/05/2021,South,Tennessee,Knoxville,Men's Athletic Footwear,37,264,9768,479,Outlet
235,Walmart,1185732,05/05/2020,Northeast,New York,New York,Women's Street Footwear,42,333,13986,559,Outlet
236,Sports Direct,1197831,07/09/2021,South,Alabama,Birmingham,Men's Athletic Footwear,37,264,9768,537,Outlet
237,Walmart,1197831,26/10/2020,South,Texas,Houston,Men's Street Footwear,32,333,10656,426,Outlet
238,West Gear,1197831,06/07/2021,West,Idaho,Boise,Men's Street Footwear,35,264,9240,425,Outlet
239,Walmart,1197831,27/10/2020,South,Texas,Houston,Men's Athletic Footwear,34,333,11322,476,Outlet
240,Foot Locker,1197831,06/07/2021,West,Idaho,Boise,Women's Apparel,51,264,13464,794,Outlet
241,West Gear,1128299,12/02/2021,West,California,San Francisco,Men's Athletic Footwear,46,332,15272,321,Outlet
242,Foot Locker,1185732,09/01/2021,Southeast,Georgia,Atlanta,Women's Street Footwear,24,264,6336,203,Outlet
243,Sports Direct,1197831,24/09/2021,South,Texas,Dallas,Women's Street Footwear,35,332,11620,546,Outlet
244,Walmart,1185732,02/05/2020,Northeast,New York,New York,Women's Apparel,66,263,17358,642,Online
245,West Gear,1185732,11/10/2021,West,Utah,Salt Lake City,Women's Street Footwear,20,300,6000,2100,In-store
246,Foot Locker,1185732,06/01/2020,Northeast,New York,New York,Women's Apparel,38,330,12540,401,Outlet
247,Amazon,1185732,22/01/2021,Midwest,Ohio,Columbus,Women's Street Footwear,30,300,9000,3600,Online
248,Foot Locker,1185732,17/04/2021,South,Mississippi,Jackson,Women's Athletic Footwear,20,300,6000,2400,Online
249,West Gear,1128299,05/02/2021,West,California,San Francisco,Men's Street Footwear,52,263,13676,602,Online
250,Sports Direct,1197831,23/01/2021,South,Mississippi,Jackson,Women's Athletic Footwear,20,300,6000,2400,Online
251,Walmart,1185732,26/04/2020,Northeast,New York,New York,Women's Apparel,50,330,16500,462,Outlet
